"ID","Title","Post Type","district_code","province_id"
"1395","Huyện Núi Thành","district","00379","372"
"1396","Huyện Nông Sơn","district","00380","372"
"1397","TP Quảng Ngãi","district","00381","373"
"1398","Huyện Bình Sơn","district","00382","373"
"1399","Huyện Trà Bồng","district","00383","373"
"1400","Huyện Tây Trà","district","00384","373"
"1401","Huyện Sơn Tịnh","district","00385","373"
"1402","Huyện Tư Nghĩa","district","00386","373"
"1403","Huyện Sơn Hà","district","00387","373"
"1404","Huyện Sơn Tây","district","00388","373"
"1405","Huyện Minh Long","district","00389","373"
"1406","Huyện Nghĩa Hành","district","00390","373"
"1407","Huyện Mộ Đức","district","00391","373"
"1408","Huyện Đức Phổ","district","00392","373"
"1409","Huyện Ba Tơ","district","00393","373"
"1410","Huyện Lý Sơn","district","00394","373"
"1411","TP Qui Nhơn","district","00395","380"
"1412","Huyện Hoài Nhơn","district","00396","380"
"1413","Huyện Hoài Ân","district","00397","380"
"1414","Huyện Phù Mỹ","district","00398","380"
"1415","Huyện Vĩnh Thạnh","district","00399","382"
"1416","Huyện Tây Sơn","district","00400","380"
"1417","Huyện Phù Cát","district","00401","380"
"1418","Thị xã An Nhơn","district","00402","380"
"1419","Huyện Tuy Phước","district","00403","380"
"1420","Huyện Vân Canh","district","00404","380"
"1421","TP Tuy Hoà","district","00405","395"
"1422","Thị xã Sông Cầu","district","00406","395"
"1423","Huyện Đồng Xuân","district","00407","395"
"1424","Huyện Tuy An","district","00408","395"
"1425","Huyện Sơn Hòa","district","00409","395"
"1426","Huyện Sông Hinh","district","00410","395"
"1427","Huyện Tây Hoà","district","00411","395"
"1428","Huyện Phú Hoà","district","00412","395"
"1429","Huyện Đông Hòa","district","00413","395"
"1430","TP Nha Trang","district","00414","387"
"1431","TP Cam Ranh","district","00415","387"
"1432","Huyện Cam Lâm","district","00416","387"
"1433","Huyện Vạn Ninh","district","00417","387"
"1434","Thị xã Ninh Hòa","district","00418","387"
"1435","Huyện Khánh Vĩnh","district","00419","387"
"1436","Huyện Diên Khánh","district","00420","387"
"1437","Huyện Khánh Sơn","district","00421","387"
"1438","Huyện Trường Sa","district","00422","387"
"1439","Phan Rang-Tháp Chàm","district","00423","393"
"1440","Huyện Bác Ái","district","00424","393"
"1441","Huyện Ninh Sơn","district","00425","393"
"1442","Huyện Ninh Hải","district","00426","393"
"1443","Huyện Ninh Phước","district","00427","393"
"1444","Huyện Thuận Bắc","district","00428","393"
"1445","Huyện Thuận Nam","district","00429","393"
"1446","TP Phan Thiết","district","00430","370"
"1447","Thị xã La Gi","district","00431","370"
"1448","Huyện Tuy Phong","district","00432","370"
"1449","Huyện Bắc Bình","district","00433","370"
"1450","Huyện Hàm Thuận Bắc","district","00434","370"
"1451","Huyện Hàm Thuận Nam","district","00435","370"
"1452","Huyện Tánh Linh","district","00436","370"
"1453","Huyện Đức Linh","district","00437","370"
"1454","Huyện Hàm Tân","district","00438","370"
"1455","Huyện Phú Quí","district","00439","370"
"1456","TP Kon Tum","district","00440","388"
"1457","Huyện Đắk Glei","district","00441","388"
"1458","Huyện Ngọc Hồi","district","00442","388"
"1459","Huyện Đắk Tô","district","00443","388"
"1460","Huyện Kon Plông","district","00444","388"
"1461","Huyện Kon Rẫy","district","00445","388"
"1462","Huyện Đắk Hà","district","00446","388"
"1463","Huyện Sa Thầy","district","00447","388"
"1464","Huyện Tu Mơ Rông","district","00448","388"
"1465","Huyện Ia H' Drai","district","00449","388"
"1466","TP Pleiku","district","00450","383"
"1467","Thị xã An Khê","district","00451","383"
"1468","Thị xã Ayun Pa","district","00452","383"
"1469","Huyện KBang","district","00453","383"
"1470","Huyện Đăk Đoa","district","00454","383"
"1471","Huyện Chư Păh","district","00455","383"
"1472","Huyện Ia Grai","district","00456","383"
"1473","Huyện Mang Yang","district","00457","383"
"1474","Huyện Kông Chro","district","00458","383"
"1475","Huyện Đức Cơ","district","00459","383"
"1476","Huyện Chư Prông","district","00460","383"
"1477","Huyện Chư Sê","district","00461","383"
"1478","Huyện Đăk Pơ","district","00462","383"
"1479","Huyện Ia Pa","district","00463","383"
"1480","Huyện Krông Pa","district","00464","383"
"1481","Huyện Phú Thiện","district","00465","383"
"1482","Huyện Chư Pưh","district","00466","383"
"1483","Buôn Ma Thuột","district","00467","405"
"1484","Thị Xã Buôn Hồ","district","00468","405"
"1485","Huyện Ea H'leo","district","00469","405"
"1486","Huyện Ea Súp","district","00470","405"
"1487","Huyện Buôn Đôn","district","00471","405"
"1488","Huyện Cư M'gar","district","00472","405"
"1489","Huyện Krông Búk","district","00473","405"
"1490","Huyện Krông Năng","district","00474","405"
"1491","Huyện Ea Kar","district","00475","405"
"1492","Huyện M'Đrắk","district","00476","405"
"1493","Huyện Krông Bông","district","00477","405"
"1494","Huyện Krông Pắc","district","00478","405"
"1495","Huyện Krông A Na","district","00479","405"
"1496","Huyện Lắk","district","00480","405"
"1497","Huyện Cư Kuin","district","00481","405"
"1498","Thị xã Gia Nghĩa","district","00482","409"
"1499","Huyện Đăk Glong","district","00483","409"
"1500","Huyện Cư Jút","district","00484","409"
