"Phường Xã","province_id","district_id"
"Xã Vân Canh","347","1038"
"Xã Đắc Sở","347","1038"
"Xã Lại Yên","347","1038"
"Xã Tiền Yên","347","1038"
"Xã Song Phương","347","1038"
"Xã An Khánh","347","1038"
"Xã An Thượng","347","1038"
"Xã Vân Côn","347","1038"
"Xã La Phù","347","1038"
"Xã Đông La","347","1038"
"Xã Đông Xuân","347","1039"
"Thị trấn Quốc Oai","347","1039"
"Xã Sài Sơn","347","1039"
"Xã Phượng Cách","347","1039"
"Xã Yên Sơn","347","1039"
"Xã Ngọc Liệp","347","1039"
"Xã Ngọc Mỹ","347","1039"
"Xã Liệp Tuyết","347","1039"
"Xã Thạch Thán","347","1039"
"Xã Đồng Quang","347","1039"
"Xã Phú Cát","347","1039"
"Xã Tuyết Nghĩa","347","1039"
"Xã Nghĩa Hương","347","1039"
"Xã Cộng Hòa","347","1039"
"Xã Tân Phú","347","1039"
"Xã Đại Thành","347","1039"
"Xã Phú Mãn","347","1039"
"Xã Cấn Hữu","347","1039"
"Xã Tân Hòa","347","1039"
"Xã Hòa Thạch","347","1039"
"Xã Đông Yên","347","1039"
"Xã Yên Trung","347","1040"
"Xã Yên Bình","347","1040"
"Xã Tiến Xuân","347","1040"
"Thị trấn Liên Quan","347","1040"
"Xã Đại Đồng","347","1040"
"Xã Cẩm Yên","347","1040"
"Xã Lại Thượng","347","1040"
"Xã Phú Kim","347","1040"
"Xã Hương Ngải","347","1040"
"Xã Canh Nậu","347","1040"
"Xã Kim Quan","347","1040"
"Xã Dị Nậu","347","1040"
"Xã Bình Yên","347","1040"
"Xã Chàng Sơn","347","1040"
"Xã Thạch Hoà","347","1040"
"Xã Cần Kiệm","347","1040"
"Xã Hữu Bằng","347","1040"
"Xã Phùng Xá","347","1040"
"Xã Tân Xã","347","1040"
"Xã Thạch Xá","347","1040"
"Xã Bình Phú","347","1040"
"Xã Hạ Bằng","347","1040"
"Xã Đồng Trúc","347","1040"
"Thị trấn Chúc Sơn","347","1041"
"Thị trấn Xuân Mai","347","1041"
"Xã Phụng Châu","347","1041"
"Xã Tiên Phương","347","1041"
"Xã Đông Sơn","347","1041"
"Xã Đông Phương Yên","347","1041"
"Xã Phú Nghĩa","347","1041"
"Xã Trường Yên","347","1041"
"Xã Ngọc Hòa","347","1041"
"Xã Thủy Xuân Tiên","347","1041"
"Xã Thanh Bình","347","1041"
"Xã Trung Hòa","347","1041"
"Xã Đại Yên","347","1041"
"Xã Thụy Hương","347","1041"
"Xã Tốt Động","347","1041"
"Xã Lam Điền","347","1041"
"Xã Tân Tiến","347","1041"
"Xã Nam Phương Tiến","347","1041"
"Xã Hợp Đồng","347","1041"
"Xã Hoàng Văn Thụ","347","1041"
"Xã Hoàng Diệu","347","1041"
"Xã Hữu Văn","347","1041"
"Xã Quảng Bị","347","1041"
"Xã Mỹ Lương","347","1041"
"Xã Thượng Vực","347","1041"
"Xã Hồng Phong","347","1041"
"Xã Đồng Phú","347","1041"
"Xã Trần Phú","347","1041"
"Xã Văn Võ","347","1041"
"Xã Đồng Lạc","347","1041"
"Xã Hòa Chính","347","1041"
"Xã Phú Nam An","347","1041"
"Thị trấn Kim Bài","347","1042"
"Xã Cự Khê","347","1042"
"Xã Bích Hòa","347","1042"
"Xã Mỹ Hưng","347","1042"
"Xã Cao Viên","347","1042"
"Xã Bình Minh","347","1042"
"Xã Tam Hưng","347","1042"
"Xã Thanh Cao","347","1042"
"Xã Thanh Thùy","347","1042"
"Xã Thanh Mai","347","1042"
"Xã Thanh Văn","347","1042"
"Xã Đỗ Động","347","1042"
"Xã Kim An","347","1042"
"Xã Kim Thư","347","1042"
"Xã Phương Trung","347","1042"
"Xã Tân Ước","347","1042"
"Xã Dân Hòa","347","1042"
"Xã Liên Châu","347","1042"
"Xã Cao Dương","347","1042"
"Xã Xuân Dương","347","1042"
"Xã Hồng Dương","347","1042"
"Thị trấn Thường Tín","347","1043"
"Xã Ninh Sở","347","1043"
"Xã Nhị Khê","347","1043"
"Xã Duyên Thái","347","1043"
"Xã Khánh Hà","347","1043"
"Xã Hòa Bình","347","1043"
"Xã Văn Bình","347","1043"
"Xã Hiền Giang","347","1043"
"Xã Hồng Vân","347","1043"
"Xã Vân Tảo","347","1043"
"Xã Liên Phương","347","1043"
"Xã Văn Phú","347","1043"
"Xã Tự Nhiên","347","1043"
"Xã Tiền Phong","347","1043"
"Xã Hà Hồi","347","1043"
"Xã Thư Phú","347","1043"
"Xã Nguyễn Trãi","347","1043"
"Xã Quất Động","347","1043"
"Xã Chương Dương","347","1043"
"Xã Tân Minh","347","1043"
"Xã Lê Lợi","347","1043"
"Xã Thắng Lợi","347","1043"
"Xã Dũng Tiến","347","1043"
"Xã Thống Nhất","347","1043"
"Xã Nghiêm Xuyên","347","1043"
"Xã Tô Hiệu","347","1043"
